platform,content,score,user,time,song_id,clean_content,words,word_count,sentiment_label,sentiment_prob,sentiment_text,entities,person_entities,location_entities,organization_entities,product_entities,keywords,keyword_list,is_long,summary,topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,aspect_results,aspect_晚安,aspect_时候,aspect_朋友,aspect_世界,aspect_我会,aspect_感觉,aspect_流泪,aspect_首歌,aspect_我爱你,aspect_爱心
网易云音乐,是吗，那我们谈吧,1,伪練,2025-04-24 23:39:51,1359356908,是吗，那我们谈吧,['我们'],1,2,0.4241762459278106,正面,"[('，', 'OTHER', 2, 3)]",[],[],[],[],[],[],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
网易云音乐,给时间点时间 让时间说真话。,1,拥抱在那年winter,2025-04-24 23:39:01,1359356908,给时间点时间 让时间说真话。,"['时间', '时间', '时间', '真话']",4,1,0.427656888961792,中性,"[(' ', 'OTHER', 6, 7), ('。', 'OTHER', 13, 14)]",[],[],[],[],"[('时间', 3.059654724345), ('真话', 2.1912198037325)]","['时间', '真话']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('时间', '中性', 0.0, '给时间点时间 让', []), ('时间', '中性', 0.0, '给时间点时间 让', []), ('时间', '中性', 0.0, '给时间点时间 让', []), ('真话', '中性', 0.0, ' 让时间说真话。', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,我一直在找一个跟你很像的人 最后我才发现我和你最像,1,劣_质谎,2025-04-24 23:32:37,1359356908,我一直在找一个跟你很像的人 最后我才发现我和你最像,"['一直', '最后', '发现']",3,2,0.5199675559997559,正面,"[(' ', 'OTHER', 13, 14)]",[],[],[],[],"[('发现', 4.3730478628)]",['发现'],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
网易云音乐,晚安不会再有我的消息了,1,抒写草稿纸,2025-04-24 23:32:27,1359356908,晚安不会再有我的消息了,"['晚安', '不会', '再有', '消息']",4,2,0.3968725204467773,正面,[],[],[],[],[],"[('晚安', 2.8154050806), ('再有', 1.927078790625), ('消息', 1.2599736890425), ('不会', 1.10293029489)]","['晚安', '再有', '消息', '不会']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '晚安不会再有我', []), ('消息', '中性', 0.0, '会再有我的消息了', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,发现你还是有让我鼻酸的能力 但我们已经没有好好过的机会了,1,以慧慧为名的春,2025-04-24 23:31:08,1359356908,发现你还是有让我鼻酸的能力 但我们已经没有好好过的机会了,"['发现', '鼻酸', '能力', '我们', '已经', '好好', '机会']",7,2,0.5192014575004578,正面,"[(' ', 'OTHER', 13, 14)]",[],[],[],[],"[('鼻酸', 2.50287665818), ('机会', 1.00349068434), ('能力', 0.987068615634), ('发现', 0.87460957256), ('没有', 0.6225647130299999)]","['鼻酸', '机会', '能力', '发现', '没有']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('鼻酸', '中性', 0.0, '还是有让我鼻酸的能力 但', []), ('能力', '中性', 0.0, '让我鼻酸的能力 但我们已', []), ('机会', '中性', 0.0, '有好好过的机会了', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,后来我不再羡慕那些谈了很久的恋爱 因为我知道长久的感情需要无数个原谅来维持,1,以慧慧为名的春,2025-04-24 23:30:53,1359356908,后来我不再羡慕那些谈了很久的恋爱 因为我知道长久的感情需要无数个原谅来维持,"['后来', '不再', '羡慕', '那些', '恋爱', '因为', '知道', '长久', '感情', '需要', '无数个', '原谅', '维持']",13,2,0.5347148776054382,正面,"[('后来', 'TIME', 0, 2), (' ', 'OTHER', 16, 17), ('原谅', 'PERSON', 32, 34)]",['原谅'],[],[],[],"[('羡慕', 1.3362258772483333), ('恋爱', 1.30927872299), ('感情', 1.062596150975), ('维持', 0.8958863163149999), ('需要', 0.7240801072499999), ('知道', 0.6623514233333333)]","['羡慕', '恋爱', '感情', '维持', '需要', '知道']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('感情', '中性', 0.0, '知道长久的感情需要无数个', []), ('原谅', '中性', 0.0, '需要无数个原谅来维持', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,晚安(˘ω˘)✩,1,以慧慧为名的春,2025-04-24 23:30:36,1359356908,晚安ω,['晚安'],1,2,0.3871974050998688,正面,"[('ω', 'OTHER', 2, 3)]",[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '晚安ω', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,不喜欢的时候,1,梳个丸子头a,2025-04-24 23:22:50,1359356908,不喜欢的时候,"['喜欢', '时候']",2,2,0.444201648235321,正面,[],[],[],[],[],"[('喜欢', 2.85129420151), ('时候', 2.14437316672)]","['喜欢', '时候']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('时候', '正面', 0.3333333333333333, '不喜欢的时候', [('喜欢', 1.0)])]",无,正面,无,无,无,无,无,无,无,无
网易云音乐,来啦,1,梳个丸子头a,2025-04-24 23:18:09,1359356908,来啦,[],0,1,0.3894240260124206,中性,[],[],[],[],[],[],[],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
网易云音乐,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,还没吃柠檬a,2025-04-24 23:11:00,1359356908,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了 一个人躺在出租屋里好无力 感觉自己快坚持不下去了 我能讨碗饭吃吗,"['生着', '发烧', '身上', '一点', '开始', '工作', '工资', '支出', '两天', '出租', '屋里', '无力', '感觉', '坚持', '下去', '我能', '碗饭']",17,2,0.5691059231758118,正面,"[('。', 'OTHER', 5, 6), ('。', 'OTHER', 15, 16), ('，', 'OTHER', 21, 22), (' ', 'OTHER', 31, 32), (' ', 'OTHER', 41, 42), (' ', 'OTHER', 54, 55), ('下去', 'TIME', 63, 65), (' ', 'OTHER', 66, 67)]",[],[],[],[],"[('碗饭', 0.8229438301033333), ('发烧', 0.7207003519941666), ('出租', 0.6937273790691667), ('无力', 0.5979703341508333), ('支出', 0.564348475525), ('工资', 0.5322473670116666), ('没有', 0.5188039275249999), ('坚持', 0.4845479263591667), ('感觉', 0.47012319077583337), ('工作', 0.35022827852916666), ('开始', 0.32041892567)]","['碗饭', '发烧', '出租', '无力', '支出', '工资', '没有', '坚持', '感觉', '工作', '开始']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('无力', '正面', 0.3333333333333333, '出租屋里好无力 感觉自己', [('好', 1.0)]), ('感觉', '正面', 0.3333333333333333, '里好无力 感觉自己快坚持', [('好', 1.0)]), ('碗饭', '中性', 0.0, '了 我能讨碗饭吃吗', [])]",无,无,无,无,无,正面,无,无,无,无
网易云音乐,借你吉言,1,爱佳欣不伤心,2025-04-24 23:06:56,1359356908,借你吉言,['吉言'],1,2,0.4414868950843811,正面,[],[],[],[],[],"[('吉言', 11.7034530746)]",['吉言'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('吉言', '中性', 0.0, '借你吉言', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,加油,1,叫主人就对了hh,2025-04-24 23:02:11,1359356908,加油,['加油'],1,1,0.3995487689971924,中性,[],[],[],[],[],"[('加油', 8.80692745117)]",['加油'],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
网易云音乐,争气一点,1,小菡降临我身边,2025-04-24 22:55:25,1359356908,争气一点,"['争气', '一点']",2,1,0.4129373729228973,中性,[],[],[],[],[],"[('争气', 9.98865464655)]",['争气'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('争气', '中性', 0.0, '争气一点', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,山茶红_9,2025-04-24 22:53:51,1359356908,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了 一个人躺在出租屋里好无力 感觉自己快坚持不下去了 我能讨碗饭吃吗,"['生着', '发烧', '身上', '一点', '开始', '工作', '工资', '支出', '两天', '出租', '屋里', '无力', '感觉', '坚持', '下去', '我能', '碗饭']",17,2,0.5691059231758118,正面,"[('。', 'OTHER', 5, 6), ('。', 'OTHER', 15, 16), ('，', 'OTHER', 21, 22), (' ', 'OTHER', 31, 32), (' ', 'OTHER', 41, 42), (' ', 'OTHER', 54, 55), ('下去', 'TIME', 63, 65), (' ', 'OTHER', 66, 67)]",[],[],[],[],"[('碗饭', 0.8229438301033333), ('发烧', 0.7207003519941666), ('出租', 0.6937273790691667), ('无力', 0.5979703341508333), ('支出', 0.564348475525), ('工资', 0.5322473670116666), ('没有', 0.5188039275249999), ('坚持', 0.4845479263591667), ('感觉', 0.47012319077583337), ('工作', 0.35022827852916666), ('开始', 0.32041892567)]","['碗饭', '发烧', '出租', '无力', '支出', '工资', '没有', '坚持', '感觉', '工作', '开始']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('无力', '正面', 0.3333333333333333, '出租屋里好无力 感觉自己', [('好', 1.0)]), ('感觉', '正面', 0.3333333333333333, '里好无力 感觉自己快坚持', [('好', 1.0)]), ('碗饭', '中性', 0.0, '了 我能讨碗饭吃吗', [])]",无,无,无,无,无,正面,无,无,无,无
网易云音乐,@媛是我的一切 晚安,1,可我不善言表,2025-04-24 22:49:58,1359356908,媛是我的一切 晚安,"['一切', '晚安']",2,2,0.448348194360733,正面,"[('媛', 'OTHER', 0, 1), (' ', 'OTHER', 6, 7)]",[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '我的一切 晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,晚安,1,hwy平安,2025-04-24 22:49:58,1359356908,晚安,['晚安'],1,2,0.4150713980197906,正面,[],[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,接接接！,1,_y-h-_-,2025-04-24 22:47:47,1359356908,接接接！,['接接'],1,2,0.35623899102211,正面,"[('！', 'OTHER', 3, 4)]",[],[],[],[],"[('接接', 12.8020653633)]",['接接'],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
